product_id,name,category,subcategory,price,price_bucket,popularity,is_new,discount_pct,filename
c10723fb-33a9-49b5-9977-734b3d84962d,Voltra X9 Pro,electronics,smartphones,319.78,3,0.0662,True,0,c10723fb-33a9-49b5-9977-734b3d84962d.png
0a433b3e-f4df-4f0a-a063-efe175dcb466,Voltra Book Pro 14,electronics,laptops,1010.28,4,0.1217,False,0,0a433b3e-f4df-4f0a-a063-efe175dcb466.png
5b6a86df-7fc0-4073-821a-d3e3e035b4e3,Voltra Tab Pro 11,electronics,tablets,626.69,4,0.1231,False,0,5b6a86df-7fc0-4073-821a-d3e3e035b4e3.png
c667b801-47d6-4209-8064-e5208cea3ff4,Voltra Buds Elite,electronics,headphones,643.21,4,0.0804,False,0,c667b801-47d6-4209-8064-e5208cea3ff4.png
b872ee26-39eb-4c72-b39d-936b5d77f4fe,Voltra Cam 4K Pro,electronics,cameras,384.66,3,0.084,False,0,b872ee26-39eb-4c72-b39d-936b5d77f4fe.png
84e64f6b-e73e-46e9-a7cf-2b5e6d722b14,Voltra Slim 5G,electronics,smartphones,665.66,4,0.1041,False,0,84e64f6b-e73e-46e9-a7cf-2b5e6d722b14.png
7c80fe42-a538-43f7-8545-0884d6adfa10,Voltra Slim Air 13,electronics,laptops,677.11,4,0.0441,False,30,7c80fe42-a538-43f7-8545-0884d6adfa10.png
52e2eb4c-c01e-44dc-b00c-df77248e3863,Voltra Pad Mini 8,electronics,tablets,576.64,4,0.0922,False,20,52e2eb4c-c01e-44dc-b00c-df77248e3863.png
f5a3c586-6b8f-4827-a96b-8f0d5c294afa,Voltra Air Pro,electronics,headphones,649.57,4,0.0993,False,0,f5a3c586-6b8f-4827-a96b-8f0d5c294afa.png
2babe19f-ee5b-44d6-9b9b-a5c015b4268c,Voltra Snap Ultra,electronics,cameras,507.01,4,0.0992,False,20,2babe19f-ee5b-44d6-9b9b-a5c015b4268c.png
59a9edd1-fd2d-44d9-be0a-49f2f0afaa3a,Voltra Neo Ultra,electronics,smartphones,844.31,4,0.0685,False,0,59a9edd1-fd2d-44d9-be0a-49f2f0afaa3a.png
cf4afa97-7a2e-4451-a904-1acbb119c0d5,Voltra Studio 16,electronics,laptops,714.27,4,0.1282,False,0,cf4afa97-7a2e-4451-a904-1acbb119c0d5.png
4af8ebd7-2638-48a9-9cfa-b72c86a470a6,Voltra Tab Ultra,electronics,tablets,834.95,4,0.0409,True,30,4af8ebd7-2638-48a9-9cfa-b72c86a470a6.png
8c84216a-60e7-476f-b48b-ee97671f6f24,Voltra Studio Bass,electronics,headphones,1139.8,4,0.0782,False,0,8c84216a-60e7-476f-b48b-ee97671f6f24.png
58641967-8ce7-4398-87f6-60ab2a82fc76,Voltra Lens 50mm,electronics,cameras,425.4,3,0.1077,False,30,58641967-8ce7-4398-87f6-60ab2a82fc76.png
