product_id,category,subcategory,price,price_bucket,popularity,is_new,discount_pct,image_url
f563f82b-bd89-4fb9-8b01-ae96d797d2f4,electronics,cameras,648.84,4,0.0702,False,0,
6426f11d-fdc8-4662-b698-1ce7c05be2a2,electronics,tablets,450.55,3,0.1066,True,20,
362c6166-533c-452f-93bc-9905646d7f13,electronics,laptops,785.17,4,0.0854,False,0,
8c01c59f-f01a-4c11-a5a8-9446d383a53b,electronics,tablets,620.12,4,0.0988,False,20,
7b7737ec-224c-4938-a6bd-792062074079,electronics,smartphones,945.53,4,0.0781,False,10,
5b008253-df2c-4e89-ac29-b9b1b00d35cd,electronics,laptops,486.56,3,0.0171,False,0,
bb7bf5ff-989e-4321-86e5-9aad5b80e75c,electronics,laptops,823.46,4,0.0642,False,30,
ae1dbb1d-ec3a-40d8-a90a-7d938df6d996,electronics,smartphones,801.54,4,0.1161,True,30,
c1efafc7-b8f0-4bfb-abcf-89910b168f59,electronics,tablets,457.5,3,0.123,False,0,
56d8fe66-574c-4302-99ca-a6ccfadec344,electronics,tablets,386.43,3,0.156,False,0,
c8f527ba-9595-499b-a872-bdcdfe78e57b,electronics,smartphones,908.05,4,0.0673,True,10,
5e649c02-15e5-47d3-b78b-32b08598fc66,electronics,smartphones,483.41,3,0.0604,False,0,
055d64b4-eb84-47c3-a904-92c6ccf527fd,electronics,tablets,1200.0,4,0.058,False,20,
0fe0e768-3c8a-4d46-b8ec-74ba1b81f124,electronics,laptops,1200.0,4,0.0677,False,0,
b0da92ec-7c41-478d-a6f4-8d56b5e0f906,electronics,smartphones,785.4,4,0.0669,False,0,
059da25b-b084-40df-a89d-3c21afcd0351,electronics,headphones,400.89,3,0.0986,True,10,
aed122ce-25ac-4a61-bc82-a808a6c246a8,electronics,tablets,766.12,4,0.0713,False,10,
9460efa9-42a8-4117-bd70-4f3324ec31ca,electronics,tablets,567.96,4,0.086,False,0,
c19f8e24-1378-4e74-8cce-bf5c634c6461,electronics,cameras,996.02,4,0.0843,False,0,
a38b8555-34fa-45b4-8cd6-8150faad2240,electronics,tablets,417.49,3,0.0979,False,0,
0b767d58-43a2-4cae-bae0-b68ae41e3429,electronics,cameras,261.39,3,0.1064,False,0,
ef96f79c-1b60-4d6d-95fa-3b5604a49728,electronics,smartphones,1200.0,4,0.0424,False,30,
1a918670-4a49-41e1-af97-0037fb589bbb,electronics,smartphones,721.77,4,0.0699,False,0,
39067f78-7e4d-49fd-9133-f0bc9b35cce6,electronics,laptops,515.11,4,0.0653,False,0,
1e12e9fa-0392-4c50-8817-7322a76df5ae,electronics,laptops,1200.0,4,0.0963,False,20,
f2314d6c-d34d-4c3c-85ea-118ac0f10c99,electronics,headphones,605.06,4,0.0619,True,0,
8270db65-0be1-4737-b791-892468be12bd,electronics,tablets,629.45,4,0.0528,False,0,
f719f942-784d-4d37-bda1-3c353cd86f80,electronics,cameras,1094.94,4,0.0631,True,0,
